year,month,c_cpi_u
1999,12,100
2000,1,100.3
2000,2,100.9
2000,3,101.6
2000,4,101.6
2000,5,101.7
2000,6,102.1
2000,7,102.3
2000,8,102.3
2000,9,102.8
2000,10,102.9
2000,11,102.8
2000,12,102.6
2001,1,103.3
2001,2,103.7
2001,3,103.9
2001,4,104.2
2001,5,104.6
2001,6,104.8
2001,7,104.5
2001,8,104.6
2001,9,104.9
2001,10,104.7
2001,11,104.4
2001,12,103.9
2002,1,104.2
2002,2,104.5
2002,3,105.1
2002,4,105.6
2002,5,105.6
2002,6,105.6
2002,7,105.7
2002,8,106
2002,9,106.3
2002,10,106.4
2002,11,106.3
2002,12,106
2003,1,106.5
2003,2,107.3
2003,3,107.9
2003,4,107.7
2003,5,107.5
2003,6,107.6
2003,7,107.7
2003,8,108.2
2003,9,108.5
2003,10,108.4
2003,11,108
2003,12,107.8
2004,1,108.5
2004,2,109.1
2004,3,109.7
2004,4,110
2004,5,110.6
2004,6,110.8
2004,7,110.7
2004,8,110.7
2004,9,111
2004,10,111.6
2004,11,111.6
2004,12,111.2
2005,1,111.3
2005,2,111.9
2005,3,112.6
2005,4,113.4
2005,5,113.3
2005,6,113.2
2005,7,113.7
2005,8,114.3
2005,9,115.6
2005,10,115.7
2005,11,114.9
2005,12,114.4
2006,1,115.2
2006,2,115.4
2006,3,116
2006,4,116.9
2006,5,117.5
2006,6,117.7
2006,7,118.1
2006,8,118.3
2006,9,117.8
2006,10,117.1
2006,11,116.9
2006,12,117
2007,1,117.33
2007,2,117.877
2007,3,118.913
2007,4,119.666
2007,5,120.292
2007,6,120.439
2007,7,120.377
2007,8,120.288
2007,9,120.638
2007,10,120.885
2007,11,121.481
2007,12,121.295
2008,1,121.867
2008,2,122.25
2008,3,123.323
2008,4,124.116
2008,5,125.171
2008,6,126.307
2008,7,126.918
2008,8,126.594
2008,9,126.551
2008,10,125.5
2008,11,123.044
2008,12,121.557
2009,1,122.095
2009,2,122.598
2009,3,122.803
2009,4,123.053
2009,5,123.427
2009,6,124.485
2009,7,124.293
2009,8,124.62
2009,9,124.706
2009,10,124.791
2009,11,124.788
2009,12,124.544
2010,1,124.987
2010,2,124.972
2010,3,125.442
2010,4,125.62
2010,5,125.678
2010,6,125.521
2010,7,125.536
2010,8,125.756
2010,9,125.83
2010,10,125.969
2010,11,125.92
2010,12,126.143
2011,1,126.778
2011,2,127.363
2011,3,128.585
2011,4,129.483
2011,5,129.999
2011,6,129.846
2011,7,129.983
2011,8,130.351
2011,9,130.635
2011,10,130.373
2011,11,130.196
2011,12,129.844
2012,1,130.438
2012,2,130.953
2012,3,131.905
2012,4,132.284
2012,5,132.154
2012,6,131.956
2012,7,131.731
2012,8,132.43
2012,9,132.988
2012,10,132.892
2012,11,132.208
2012,12,131.77
2013,1,132.137
2013,2,133.204
2013,3,133.558
2013,4,133.421
2013,5,133.626
2013,6,133.9
2013,7,133.919
2013,8,134.098
2013,9,134.255
2013,10,133.876
2013,11,133.596
2013,12,133.509
2014,1,134.017
2014,2,134.542
2014,3,135.375
2014,4,135.771
2014,5,136.216
2014,6,136.433
2014,7,136.392
2014,8,136.127
2014,9,136.211
2014,10,135.891
2014,11,135.107
2014,12,134.207
2015,1,133.487
2015,2,134.053
2015,3,134.969
2015,4,135.222
2015,5,135.977
2015,6,136.391
2015,7,136.371
2015,8,136.125
2015,9,135.837
2015,10,135.735
2015,11,135.393
2015,12,134.788
2016,1,134.966
2016,2,134.953
2016,3,135.655
2016,4,136.332
2016,5,136.895
2016,6,137.329
2016,7,137.007
2016,8,137.026
2016,9,137.328
2016,10,137.536
2016,11,137.253
2016,12,137.221
2017,1,138.035
2017,2,138.403
2017,3,138.461
2017,4,138.81
2017,5,138.922
2017,6,138.989
2017,7,138.755
2017,8,139.128
2017,9,139.878
2017,10,139.782
2017,11,139.72
2017,12,139.546
2018,1,140.239
2018,2,140.805
2018,3,141.142
2018,4,141.662
2018,5,142.146
2018,6,142.349
2018,7,142.317
2018,8,142.317
2018,9,142.489
2018,10,142.7
2018,11,142.238
2018,12,141.699
2019,1,142.001
2019,2,142.571
2019,3,143.297
2019,4,143.926
2019,5,144.183
2019,6,144.243
2019,7,144.409
2019,8,144.388
2019,9,144.428
2019,10,144.629
2019,11,144.518
2019,12,144.251
2020,1,144.813
2020,2,145.193
2020,3,144.913
2020,4,144.142
2020,5,144.018
2020,6,144.847
2020,7,145.747
2020,8,146.27
2020,9,146.417
2020,10,146.382
2020,11,146.242
2020,12,146.408
2021,1,147.125
2021,2,147.845
2021,3,148.746
2021,4,149.903
2021,5,151.022
2021,6,152.295
2021,7,153.076
2021,8,153.301
2021,9,153.734
2021,10,154.884
2021,11,155.538
2021,12,155.926
2022,1,157.178
2022,2,158.617
2022,3,160.835
2022,4,161.787
2022,5,163.615
2022,6,165.553
2022,7,165.495
2022,8,165.389
2022,9,165.845
2022,10,166.609
2022,11,166.498
2022,12,165.974
2023,1,167.267
2023,2,168.069
2023,3,168.501
2023,4,169.332
2023,5,169.738
2023,6,170.279
2023,7,170.541
2023,8,171.291
2023,9,171.677
2023,10,171.595
2023,11,171.219
2023,12,171.015
2024,1,171.91
2024,2,173.018
2024,3,174.163
