year,cpi_u_rs_extended
1937,24.3
1938,23.8
1939,23.5
1940,23.6
1941,24.9
1942,27.6
1943,29.2
1944,29.7
1945,30.4
1946,33
1947,37.7
1948,40.6
1949,40.2
1950,40.6
1951,43.8
1952,44.9
1953,45.2
1954,45.3
1955,45.2
1956,45.9
1957,47.5
1958,48.7
1959,49.2
1960,50
1961,50.5
1962,51.1
1963,51.7
1964,52.4
1965,53.2
1966,54.8
1967,56.3
1968,58.4
1969,61
1970,63.9
1971,66.7
1972,68.7
1973,73
1974,80.4
1975,87
1976,92
1977,97.8
1978,104.4
1979,114.3
1980,127.1
1981,139.1
1982,147.5
1983,153.8
1984,160.2
1985,165.6
1986,168.4
1987,174.1
1988,180.5
1989,188.3
1990,197.6
1991,204.8
1992,209.9
1993,215.2
1994,219.7
1995,225
1996,231
1997,236
1998,239.2
1999,244.2
2000,252.5
2001,259.7
2002,263.8
2003,269.8
2004,277
2005,286.4
2006,295.7
2007,304.1
2008,315.8
2009,314.7
2010,319.8
2011,330
2012,336.9
2013,342
2014,347.7
2015,348.3
2016,352.8
2017,360.3
2018,369.1
2019,375.8
2020,380.8
2021,399.2
2022,431.5
