year,month,cpi_u_x1
1967,1,35.9
1967,2,35.9
1967,3,36
1967,4,36
1967,5,36.2
1967,6,36.3
1967,7,36.4
1967,8,36.5
1967,9,36.6
1967,10,36.7
1967,11,36.8
1967,12,36.9
1968,1,37
1968,2,37.1
1968,3,37.3
1968,4,37.4
1968,5,37.5
1968,6,37.6
1968,7,37.8
1968,8,37.9
1968,9,38
1968,10,38.2
1968,11,38.3
1968,12,38.3
1969,1,38.4
1969,2,38.6
1969,3,38.8
1969,4,39
1969,5,39.1
1969,6,39.4
1969,7,39.5
1969,8,39.6
1969,9,39.8
1969,10,39.9
1969,11,40.1
1969,12,40.3
1970,1,40.4
1970,2,40.6
1970,3,40.7
1970,4,41
1970,5,41.1
1970,6,41.2
1970,7,41.4
1970,8,41.5
1970,9,41.6
1970,10,41.8
1970,11,42
1970,12,42.2
1971,1,42.2
1971,2,42.4
1971,3,42.6
1971,4,42.8
1971,5,43
1971,6,43.2
1971,7,43.3
1971,8,43.3
1971,9,43.4
1971,10,43.5
1971,11,43.5
1971,12,43.6
1972,1,43.7
1972,2,43.9
1972,3,44
1972,4,44.1
1972,5,44.2
1972,6,44.4
1972,7,44.4
1972,8,44.5
1972,9,44.7
1972,10,44.8
1972,11,45
1972,12,45.1
1973,1,45.3
1973,2,45.6
1973,3,46.1
1973,4,46.4
1973,5,46.7
1973,6,47
1973,7,47.1
1973,8,47.9
1973,9,48
1973,10,48.3
1973,11,48.6
1973,12,48.9
1974,1,49.3
1974,2,50
1974,3,50.5
1974,4,50.8
1974,5,51.3
1974,6,51.7
1974,7,52
1974,8,52.6
1974,9,53.2
1974,10,53.6
1974,11,54
1974,12,54.3
1975,1,54.5
1975,2,54.8
1975,3,55
1975,4,55.3
1975,5,55.5
1975,6,56
1975,7,56.5
1975,8,56.8
1975,9,57
1975,10,57.3
1975,11,57.6
1975,12,57.9
1976,1,58
1976,2,58.2
1976,3,58.4
1976,4,58.6
1976,5,59
1976,6,59.3
1976,7,59.6
1976,8,59.9
1976,9,60.1
1976,10,60.4
1976,11,60.6
1976,12,60.8
1977,1,61.2
1977,2,61.8
1977,3,62.1
1977,4,62.6
1977,5,62.9
1977,6,63.3
1977,7,63.5
1977,8,63.8
1977,9,63.9
1977,10,64.1
1977,11,64.4
1977,12,64.6
1978,1,65
1978,2,65.4
1978,3,65.8
1978,4,66.4
1978,5,67
1978,6,67.6
1978,7,67.9
1978,8,68.2
1978,9,68.6
1978,10,69
1978,11,69.4
1978,12,69.8
1979,1,70.3
1979,2,71
1979,3,71.6
1979,4,72.3
1979,5,73.1
1979,6,73.9
1979,7,74.5
1979,8,75.1
1979,9,75.7
1979,10,76.3
1979,11,76.7
1979,12,77.3
1980,1,78.2
1980,2,79.2
1980,3,80.2
1980,4,80.8
1980,5,81.5
1980,6,82
1980,7,82.6
1980,8,83.2
1980,9,84.1
1980,10,84.6
1980,11,85.1
1980,12,85.6
1981,1,86.4
1981,2,87.5
1981,3,88.2
1981,4,88.7
1981,5,89.3
1981,6,89.8
1981,7,90.5
1981,8,91.1
1981,9,91.9
1981,10,92.3
1981,11,92.6
1981,12,92.9
1982,1,93.5
1982,2,93.7
1982,3,93.9
1982,4,94
1982,5,94.7
1982,6,95.6
1982,7,96.3
1982,8,96.5
1982,9,96.9
1982,10,97.4
1982,11,97.5
1982,12,97.6
