year,period,value
2024,M03,174.163
2024,M02,173.018
2024,M01,171.91
2023,M12,171.015
2023,M11,171.219
2023,M10,171.595
2023,M09,171.677
2023,M08,171.291
2023,M07,170.541
2023,M06,170.279
2023,M05,169.738
2023,M04,169.332
2023,M03,168.501
2023,M02,168.069
2023,M01,167.267
2022,M12,165.974
2022,M11,166.498
2022,M10,166.609
2022,M09,165.845
2022,M08,165.389
2022,M07,165.495
2022,M06,165.553
2022,M05,163.615
2022,M04,161.787
2022,M03,160.835
2022,M02,158.617
2022,M01,157.178
2021,M12,155.926
2021,M11,155.538
2021,M10,154.884
2021,M09,153.734
2021,M08,153.301
2021,M07,153.076
2021,M06,152.295
2021,M05,151.022
2021,M04,149.903
2021,M03,148.746
2021,M02,147.845
2021,M01,147.125
2020,M12,146.408
2020,M11,146.242
2020,M10,146.382
2020,M09,146.417
2020,M08,146.27
2020,M07,145.747
2020,M06,144.847
2020,M05,144.018
2020,M04,144.142
2020,M03,144.913
2020,M02,145.193
2020,M01,144.813
2019,M12,144.251
2019,M11,144.518
2019,M10,144.629
2019,M09,144.428
2019,M08,144.388
2019,M07,144.409
2019,M06,144.243
2019,M05,144.183
2019,M04,143.926
2019,M03,143.297
2019,M02,142.571
2019,M01,142.001
2018,M12,141.699
2018,M11,142.238
2018,M10,142.7
2018,M09,142.489
2018,M08,142.317
2018,M07,142.317
2018,M06,142.349
2018,M05,142.146
2018,M04,141.662
2018,M03,141.142
2018,M02,140.805
2018,M01,140.239
2017,M12,139.546
2017,M11,139.72
2017,M10,139.782
2017,M09,139.878
2017,M08,139.128
2017,M07,138.755
2017,M06,138.989
2017,M05,138.922
2017,M04,138.81
2017,M03,138.461
2017,M02,138.403
2017,M01,138.035
2016,M12,137.221
2016,M11,137.253
2016,M10,137.536
2016,M09,137.328
2016,M08,137.026
2016,M07,137.007
2016,M06,137.329
2016,M05,136.895
2016,M04,136.332
2016,M03,135.655
2016,M02,134.953
2016,M01,134.966
2015,M12,134.788
2015,M11,135.393
2015,M10,135.735
2015,M09,135.837
2015,M08,136.125
2015,M07,136.371
2015,M06,136.391
2015,M05,135.977
2015,M04,135.222
2015,M03,134.969
2015,M02,134.053
2015,M01,133.487
2014,M12,134.207
2014,M11,135.107
2014,M10,135.891
2014,M09,136.211
2014,M08,136.127
2014,M07,136.392
2014,M06,136.433
2014,M05,136.216
2014,M04,135.771
2014,M03,135.375
2014,M02,134.542
2014,M01,134.017
2013,M12,133.509
2013,M11,133.596
2013,M10,133.876
2013,M09,134.255
2013,M08,134.098
2013,M07,133.919
2013,M06,133.9
2013,M05,133.626
2013,M04,133.421
2013,M03,133.558
2013,M02,133.204
2013,M01,132.137
2012,M12,131.77
2012,M11,132.208
2012,M10,132.892
2012,M09,132.988
2012,M08,132.43
2012,M07,131.731
2012,M06,131.956
2012,M05,132.154
2012,M04,132.284
2012,M03,131.905
2012,M02,130.953
2012,M01,130.438
2011,M12,129.844
2011,M11,130.196
2011,M10,130.373
2011,M09,130.635
2011,M08,130.351
2011,M07,129.983
2011,M06,129.846
2011,M05,129.999
2011,M04,129.483
2011,M03,128.585
2011,M02,127.363
2011,M01,126.778
2010,M12,126.143
2010,M11,125.92
2010,M10,125.969
2010,M09,125.83
2010,M08,125.756
2010,M07,125.536
2010,M06,125.521
2010,M05,125.678
2010,M04,125.62
2010,M03,125.442
2010,M02,124.972
2010,M01,124.987
2009,M12,124.544
2009,M11,124.788
2009,M10,124.791
2009,M09,124.706
2009,M08,124.62
2009,M07,124.293
2009,M06,124.485
2009,M05,123.427
2009,M04,123.053
2009,M03,122.803
2009,M02,122.598
2009,M01,122.095
2008,M12,121.557
2008,M11,123.044
2008,M10,125.5
2008,M09,126.551
2008,M08,126.594
2008,M07,126.918
2008,M06,126.307
2008,M05,125.171
2008,M04,124.116
2008,M03,123.323
2008,M02,122.25
2008,M01,121.867
2007,M12,121.295
2007,M11,121.481
2007,M10,120.885
2007,M09,120.638
2007,M08,120.288
2007,M07,120.377
2007,M06,120.439
2007,M05,120.292
2007,M04,119.666
2007,M03,118.913
2007,M02,117.877
2007,M01,117.33
2006,M12,117
2006,M11,116.9
2006,M10,117.1
2006,M09,117.8
2006,M08,118.3
2006,M07,118.1
2006,M06,117.7
2006,M05,117.5
2006,M04,116.9
2006,M03,116
2006,M02,115.4
2006,M01,115.2
2005,M12,114.4
2005,M11,114.9
2005,M10,115.7
2005,M09,115.6
2005,M08,114.3
2005,M07,113.7
2005,M06,113.2
2005,M05,113.3
2005,M04,113.4
2005,M03,112.6
2005,M02,111.9
2005,M01,111.3
2004,M12,111.2
2004,M11,111.6
2004,M10,111.6
2004,M09,111
2004,M08,110.7
2004,M07,110.7
2004,M06,110.8
2004,M05,110.6
2004,M04,110
2004,M03,109.7
2004,M02,109.1
2004,M01,108.5
2003,M12,107.8
2003,M11,108
2003,M10,108.4
2003,M09,108.5
2003,M08,108.2
2003,M07,107.7
2003,M06,107.6
2003,M05,107.5
2003,M04,107.7
2003,M03,107.9
2003,M02,107.3
2003,M01,106.5
2002,M12,106
2002,M11,106.3
2002,M10,106.4
2002,M09,106.3
2002,M08,106
2002,M07,105.7
2002,M06,105.6
2002,M05,105.6
2002,M04,105.6
2002,M03,105.1
2002,M02,104.5
2002,M01,104.2
2001,M12,103.9
2001,M11,104.4
2001,M10,104.7
2001,M09,104.9
2001,M08,104.6
2001,M07,104.5
2001,M06,104.8
2001,M05,104.6
2001,M04,104.2
2001,M03,103.9
2001,M02,103.7
2001,M01,103.3
2000,M12,102.6
2000,M11,102.8
2000,M10,102.9
2000,M09,102.8
2000,M08,102.3
2000,M07,102.3
2000,M06,102.1
2000,M05,101.7
2000,M04,101.6
2000,M03,101.6
2000,M02,100.9
2000,M01,100.3
1999,M12,100
