Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AAvg
1967,35.9,35.9,36,36,36.2,36.3,36.4,36.5,36.6,36.7,36.8,36.9,36.3
1968,37,37.1,37.3,37.4,37.5,37.6,37.8,37.9,38,38.2,38.3,38.3,37.7
1969,38.4,38.6,38.8,39,39.1,39.4,39.5,39.6,39.8,39.9,40.1,40.3,39.4
1970,40.4,40.6,40.7,41,41.1,41.2,41.4,41.5,41.6,41.8,42,42.2,41.3
1971,42.2,42.4,42.6,42.8,43,43.2,43.3,43.3,43.4,43.5,43.5,43.6,43.1
1972,43.7,43.9,44,44.1,44.2,44.4,44.4,44.5,44.7,44.8,45,45.1,44.4
1973,45.3,45.6,46.1,46.4,46.7,47,47.1,47.9,48,48.3,48.6,48.9,47.2
1974,49.3,50,50.5,50.8,51.3,51.7,52,52.6,53.2,53.6,54,54.3,51.9
1975,54.5,54.8,55,55.3,55.5,56,56.5,56.8,57,57.3,57.6,57.9,56.2
1976,58,58.2,58.4,58.6,59,59.3,59.6,59.9,60.1,60.4,60.6,60.8,59.4
1977,61.2,61.8,62.1,62.6,62.9,63.3,63.5,63.8,63.9,64.1,64.4,64.6,63.2
1978,65,65.4,65.8,66.4,67,67.6,67.9,68.2,68.6,69,69.4,69.8,67.5
1979,70.3,71,71.6,72.3,73.1,73.9,74.5,75.1,75.7,76.3,76.7,77.3,74
1980,78.2,79.2,80.2,80.8,81.5,82,82.6,83.2,84.1,84.6,85.1,85.6,82.3
1981,86.4,87.5,88.2,88.7,89.3,89.8,90.5,91.1,91.9,92.3,92.6,92.9,90.1
1982,93.5,93.7,93.9,94,94.7,95.6,96.3,96.5,96.9,97.4,97.5,97.6,95.6
